"HolderAddress","Balance","PendingBalanceUpdate"
"0xcb25195b8ddc1616a50bcc9d5df8bb97f701dc5c","761579.953852738","No"
"0xcb34c7dff78e20ed2de4e6d807bd6614bd37d07a","3835557.42983704","No"
"0xcc3538a0cb7082f18fbd466682070366e8cc2b0a","3054850.02253683","No"
"0xcc5f5f63cb9da8724ff3e827e4277fdbd221620e","3835.55742983704","No"
"0xcc60085e55651dd8bc513a1ca19ec8f940f44466","2537956.49155757","No"
"0xcfc3055f01dd4938ac1d6579f55987d82a5b8c8e","2641763.94485681","No"
"0xcfe75f6f660627023bb89989078fb10427d21d6c","3332347.16241533","No"
"0xd17bdc356e9c1738f281fd88a1334806c681f333","1506267.54137819","No"
"0xd286856e24f5997491dab7de648d2fd4735d2f98","6839874.68138247","No"
"0xd343779588d5da8fa676732d046ddcb45a375a69","143317.68162233","No"
"0xd418ab2046e3bf5ceec54ce5a9b9cc7ad6039aa2","1974163.81058157","No"
"0xd5bc0f5b85d3579231ab2e95594c1804c2dfa410","7487353.30321058","No"
"0xd63ba08f5ad22fc6d0d1312b1362f3c55a9bcc06","0.000767111485967407","No"
"0xd8404763bce69672b42d9409f3ac9b4b2e684cfb","100960.609590856","No"
"0xd89e41c620987afffda5358dca632d1ff4c76b4a","6.82E-16","No"
"0xd8f0d4f6f0b3dd3f9ee040f1d99a4f67962c97bd","2604689.29903426","No"
"0xd9a11e21e5ee82e2beadab268da69ce1b03a55db","718066.895785097","No"
"0xdac66f646f50b5ec410ceb14d487f434efbcb4ef","4496347.13022087","No"
"0xdbd43659123e539aa34367cc116272ae8e4444f4","284532.187258078","No"
"0xde583e18cfd40668fe102d366e87aa377ad5c3aa","526175.034814017","No"
"0xe03c7307c4f0c91ca65a4b812e6e0285839b4abd","626364.438879939","No"
"0xe1d853843ba8bfe0515899e8a9d2a9cda2138c7f","843959.319726809","No"
"0xe23f853ece0149c1bb31dbeadec5510689071e9b","7349254.26760715","No"
"0xe348d0a346d3ffab8561bf20d798c789994f4b3d","147060.647966144","No"
"0xe34b1b2c09da75ee80c339aced763aa4bf02206e","5083.3322360677","No"
"0xe5110971c85d7e9884a8238f83b402453aaa9bfa","611644.91693981","No"
"0xe61e9114128284c1f68e414a9e8a0bcab24413d0","402713.102432039","No"
"0xe65a40a04bd4632a7106e87917bf638f155dcc0c","34178.755618727","No"
"0xe77fa8734c5ee15d05e7f9c2e1c4ac610aec1df3","244536.594166772","No"
"0xe90593e37441b1cf47a639320bb7c53e43947680","5969251.21100009","No"
"0xe997123875a7bc395e3faa136bcbe8fef69118fa","351376.818312105","No"
"0xed03d5d86a113de246bb8c063401554f41108183","641.837010589756","No"
"0xee0b94816a302ea1ed73ecc234a22b2406bf4e92","8528271.9201071","No"
"0xf097175e77b8ee956b4ed18a7b9679609c70920a","981674.209824557","No"
"0xf21a3a541c3c96100a7bfb9b249220cdb631907d","38272047.4491628","No"
"0xf42feb1b93740d311a68e95058a38bfe0df3dc2e","89018.651301269","No"
"0xf9024785452f9372705ab531cc06944105bd29e5","689180.731908842","No"
"0xf983dc936250d28811ab45b01e91f61786bc0a50","41497.6688803455","No"
"0xfb5a2da7c365bfdd817bcc29a49c97b80e450f3d","232666.714785404","No"
"0xfc9fbf71b00f131c508bfb24d0604ab24f322f7d","450995.622565127","No"
"0xfd4b75ee397046e2ecaec08ed06fb071de7760d7","164612.472334822","No"
"0xfdfbe55c70d5891fc68f1c4538b47633a8b4e469","11349.2788250405","No"
"0xff0144b6aff59354b982b3c6cc87b554be30c6cc","46026.6891580444","No"
